incident_id,title,description,severity,risk_score,attack_category,first_seen,last_seen,affected_assets,source_ips,alert_count,status,confidence,mitre_tactic,analyst_notes
INC-20250829101523-A1B2C3D4,Multi-stage Attack: Reconnaissance to Exploitation,Attack chain showing reconnaissance followed by exploitation attempts,Critical,92.0,Exploits,2025-08-29 10:15:23,2025-08-29 13:15:23,"['192.168.1.100', '192.168.1.101']","['203.0.113.10', '198.51.100.20']",45,Under Investigation,0.88,"Reconnaissance, Initial Access, Execution",Possible coordinated attack requiring immediate investigation
INC-20250829111845-E4F5G6H7,Backdoor Communication Detected,Suspicious backdoor communication patterns detected,High,78.0,Backdoors,2025-08-29 11:18:45,2025-08-29 14:18:45,"['10.0.0.100']","['203.0.113.40']",28,Escalated,0.82,"Command and Control, Persistence",Potential C2 communication detected
INC-20250829122210-I7J8K9L0,Denial of Service Attack,High-volume traffic consistent with DoS attack,Critical,89.0,DoS,2025-08-29 12:22:10,2025-08-29 14:22:10,"['192.168.1.102', '192.168.1.103']","['198.51.100.20', '192.0.2.30']",156,New,0.91,Impact,High-volume traffic targeting critical infrastructure
INC-20250829132533-M1N2O3P4,Reconnaissance Activity Detected,Scanning and probing activity from external source,Medium,55.0,Reconnaissance,2025-08-29 13:25:33,2025-08-29 15:25:33,"['192.168.1.100']","['203.0.113.10']",12,New,0.76,Reconnaissance,
INC-20250829142856-Q4R5S6T7,Fuzzing Activity Detected,Vulnerability probing attempts detected,Medium,62.0,Fuzzers,2025-08-29 14:28:56,2025-08-29 16:28:56,"['192.168.1.101']","['203.0.113.10']",18,Under Investigation,0.75,Reconnaissance,
INC-20250829153218-U7V8W9X0,Analysis Traffic Detected,Unusual analysis-like traffic patterns,Low,48.0,Analysis,2025-08-29 15:32:18,2025-08-29 17:32:18,"['192.168.1.103']","['203.0.113.40']",8,Resolved,0.73,Reconnaissance,Determined to be legitimate security testing
INC-20250829163541-Y1Z2A3B4,Shellcode Activity Detected,Possible shellcode execution indicators,High,72.0,Shellcode,2025-08-29 16:35:41,2025-08-29 18:35:41,"['192.168.1.100']","['198.51.100.20']",22,Escalated,0.84,Execution,
INC-20250829173905-C4D5E6F7,Worm Propagation Detected,Propagation patterns consistent with worm activity,High,76.0,Worms,2025-08-29 17:39:05,2025-08-29 19:39:05,"['192.168.1.101', '192.168.1.102']","['192.0.2.30']",35,Under Investigation,0.84,"Lateral Movement, Propagation",
INC-20250829184228-G8H9I0J1,Generic Anomalous Traffic,Unusual traffic not matching specific attack patterns,Low,38.0,Generic,2025-08-29 18:42:28,2025-08-29 20:42:28,"['192.168.1.103']","['10.0.0.5']",6,New,0.68,Unknown,
INC-20250829194550-K2L3M4N5,Normal Traffic Pattern,Legitimate traffic pattern confirmed,Low,15.0,Normal,2025-08-29 19:45:50,2025-08-29 21:45:50,"['192.168.1.100', '192.168.1.101']","['192.168.1.10', '192.168.1.15']",24,Resolved,0.95,None,Verified as legitimate business traffic
