timestamp,source_ip,destination_ip,source_port,destination_port,protocol,service,duration,source_bytes,destination_bytes,source_packets,destination_packets,source_ttl,destination_ttl,source_load,destination_load,source_loss,destination_loss,attack_category,label,prediction,confidence,anomaly_score,incident_id,status
2025-08-29 10:15:23,192.168.1.10,192.168.1.100,45232,80,tcp,http,2.5,1250,3400,15,32,64,128,500.0,1360.0,2,1,Normal,0,Normal,0.95,15.0,,New
2025-08-29 10:18:45,192.168.1.15,192.168.1.101,52341,443,tcp,https,3.2,2100,4500,22,38,64,128,656.25,1406.25,3,2,Normal,0,Normal,0.92,18.5,,New
2025-08-29 10:22:10,203.0.113.10,192.168.1.100,54123,22,tcp,ssh,0.8,450,120,8,12,32,64,562.5,150.0,1,0,Reconnaissance,1,Reconnaissance,0.78,75.2,,New
2025-08-29 10:25:33,198.51.100.20,192.168.1.100,55234,80,tcp,http,15.6,8500,12000,120,180,64,128,544.87,769.23,15,12,Exploits,1,Exploits,0.85,88.7,,New
2025-08-29 10:28:56,192.168.1.20,192.168.1.102,56345,53,udp,dns,0.3,150,75,3,5,128,64,500.0,250.0,0,0,Normal,0,Normal,0.94,12.3,,New
2025-08-29 10:32:18,203.0.113.40,192.168.1.101,57456,21,tcp,ftp,8.4,3200,1800,45,28,64,128,380.95,214.29,4,2,Backdoors,1,Backdoors,0.82,82.1,,New
2025-08-29 10:35:41,192.168.1.25,192.168.1.103,58567,443,tcp,https,4.1,1800,3800,18,35,64,128,439.02,926.83,2,1,Normal,0,Normal,0.93,16.8,,New
2025-08-29 10:39:05,198.51.100.20,192.168.1.102,59678,80,tcp,http,25.8,15000,22000,200,280,64,128,581.40,852.71,25,18,DoS,1,DoS,0.89,91.4,,New
2025-08-29 10:42:28,10.0.0.5,192.168.1.100,60789,22,tcp,ssh,1.2,680,180,10,15,32,64,566.67,150.0,1,0,Normal,0,Normal,0.91,14.5,,New
2025-08-29 10:45:51,203.0.113.10,192.168.1.101,61890,80,tcp,http,12.3,6500,9800,95,140,64,128,528.46,796.75,8,6,Fuzzers,1,Fuzzers,0.75,68.9,,New
2025-08-29 10:49:14,192.168.1.10,192.168.1.103,63001,53,udp,dns,0.4,180,90,4,6,128,64,450.0,225.0,0,0,Normal,0,Normal,0.96,11.2,,New
2025-08-29 10:52:37,198.51.100.20,192.168.1.100,64112,443,tcp,https,18.7,9800,14500,150,210,64,128,524.06,775.40,12,9,Exploits,1,Exploits,0.87,86.3,,New
2025-08-29 10:56:00,10.0.0.10,192.168.1.102,65223,25,tcp,smtp,2.8,1400,2800,16,24,64,128,500.0,1000.0,2,1,Normal,0,Normal,0.90,17.4,,New
2025-08-29 10:59:23,203.0.113.40,192.168.1.103,66334,80,tcp,http,8.9,4200,7500,55,85,64,128,471.91,842.70,5,3,Analysis,1,Analysis,0.73,62.5,,New
2025-08-29 11:02:46,192.168.1.15,192.168.1.100,67445,22,tcp,ssh,1.5,750,200,12,18,32,64,500.0,133.33,1,0,Normal,0,Normal,0.92,13.8,,New
2025-08-29 11:06:09,192.0.2.30,192.168.1.101,68556,443,tcp,https,22.4,11500,17800,175,245,64,128,513.39,793.75,18,14,Worms,1,Worms,0.84,84.7,,New
2025-08-29 11:09:32,10.0.0.15,192.168.1.102,69667,53,udp,dns,0.5,210,105,5,7,128,64,420.0,210.0,0,0,Normal,0,Normal,0.95,10.9,,New
2025-08-29 11:12:55,203.0.113.10,192.168.1.100,70778,21,tcp,ftp,6.7,2800,1600,38,24,64,128,417.91,238.81,3,2,Backdoors,1,Backdoors,0.81,79.8,,New
2025-08-29 11:16:18,192.168.1.20,192.168.1.103,71889,80,tcp,http,3.5,1650,3700,20,38,64,128,471.43,1057.14,2,1,Normal,0,Normal,0.94,15.2,,New
2025-08-29 11:19:41,198.51.100.20,192.168.1.101,73000,22,tcp,ssh,0.9,480,130,9,13,32,64,533.33,144.44,1,0,Reconnaissance,1,Reconnaissance,0.76,71.3,,New
